DurationTime,ZeroCrossRate,StartTime,EndTime,EntropyTime,LocalMaxMean,PeakToPeak,RmsTime,StartToMax,BandWidth,MaxFreq,MinFreq,PeakFreq,PeaksAbove,Category
49,0.0035,0.0011,0.0,0.0035,0,0.05,0.3643,0.05,0.0008,92.77,118.16,25.39,53.71,7,B. nana
50,0.0045,0.0009,0.0,0.0045,0,0.06,0.6431,0.07,0.0011,67.38,107.42,40.03,53.71,5,B. nana
51,0.004,0.001,0.0,0.004,0,0.06,0.7266,0.07,0.0008,92.77,118.16,25.39,49.8,5,B. nana
52,0.003,0.0013,0.0,0.003,0,0.05,0.5034,0.05,0.0007,92.77,118.16,25.39,79.1,2,B. nana
53,0.0035,0.0011,0.0,0.0035,0,0.11,0.5943,0.1,0.0013,58.59,100.58,41.99,56.64,3,B. nana
54,0.002,0.002,0.0,0.002,0,0.05,0.4019,0.05,0.0008,91.79,118.16,26.36,79.1,3,B. nana
55,0.002,0.002,0.0,0.002,0,0.03,0.1616,0.02,0.0012,118.16,123.04,4.88,47.85,10,B. nana
56,0.003,0.0013,0.0,0.003,0,0.06,0.4976,0.06,0.0007,88.86,114.25,25.39,52.73,4,B. nana
57,0.003,0.0013,0.0,0.003,0,0.05,0.457,0.05,0.0011,95.7,121.09,25.39,49.8,2,B. nana
58,0.003,0.0013,0.0,0.003,0,0.05,0.4028,0.05,0.0009,114.25,114.25,0.0,47.85,4,B. nana
59,0.003,0.0013,0.0,0.003,0,0.05,0.3848,0.04,0.0008,113.28,118.16,4.88,51.75,6,B. nana
60,0.002,0.002,0.0,0.002,0,0.04,0.2651,0.03,0.0009,117.18,117.18,0.0,51.75,6,B. nana
61,0.002,0.002,0.0,0.002,0,0.02,0.1543,0.02,0.001,119.14,119.14,0.0,66.4,10,B. nana
62,0.0025,0.0016,0.0,0.0025,0,0.04,0.1924,0.03,0.0008,113.28,118.16,4.88,53.71,5,B. nana
63,0.0035,0.0011,0.0,0.0035,0,0.04,0.1929,0.03,0.001,119.14,119.14,0.0,47.85,9,B. nana
64,0.0035,0.0011,0.0,0.0035,0,0.18,0.9668000000000002,0.16,0.001,100.58,100.58,0.0,55.66,5,B. nana
65,0.0035,0.0011,0.0,0.0035,0,0.04,0.228,0.03,0.0018,119.14,119.14,0.0,51.75,8,B. nana
66,0.0035,0.0011,0.0,0.0035,0,0.03,0.2095,0.03,0.0011,122.07,122.07,0.0,53.71,7,B. nana
67,0.0035,0.0011,0.0,0.0035,0,0.02,0.1362,0.02,0.0011,125.0,125.0,0.0,66.4,11,B. nana
68,0.002,0.002,0.0,0.002,0,0.03,0.1626,0.02,0.0009,97.65,102.53,4.88,56.64,6,B. nana
69,0.0035,0.0011,0.0,0.0035,0,0.03,0.2749,0.03,0.0008,118.16,118.16,0.0,66.4,7,B. nana
70,0.003,0.0013,0.0,0.003,0,0.03,0.1992,0.03,0.0008,113.28,118.16,4.88,66.4,5,B. nana
71,0.003,0.0013,0.0,0.003,0,0.03,0.2529,0.03,0.001,120.11,120.11,0.0,72.26,6,B. nana
72,0.0015,0.0027,0.0,0.0015,0,0.03,0.1968,0.03,0.0007,125.0,125.0,0.0,56.64,14,B. nana
73,0.0015,0.0027,0.0,0.0015,0,0.04,0.2783,0.03,0.0007,118.16,118.16,0.0,74.21,9,B. nana
74,0.002,0.002,0.0,0.002,0,0.02,0.1353,0.02,0.0008,120.11,120.11,0.0,66.4,10,B. nana
75,0.0035,0.0011,0.0,0.0035,0,0.13,0.6773,0.11,0.0016,58.59,99.6,41.01,55.66,2,B. nana
76,0.0025,0.0016,0.0,0.0025,0,0.09,0.7246,0.08999999999999998,0.0013,86.91,94.72,7.81,71.28,3,B. nana
77,0.0025,0.0016,0.0,0.0025,0,0.12,0.7582999999999998,0.11,0.0006,52.73,94.72,41.99,54.68,4,B. nana
78,0.003,0.0013,0.0,0.003,0,0.08,0.6055,0.08,0.0007,76.17,101.56,25.39,55.66,5,B. nana
79,0.004,0.001,0.0,0.004,0,0.08,0.4439,0.07,0.0011,61.52,101.56,40.03,55.66,6,B. nana
80,0.004,0.001,0.0,0.004,0,0.12,0.7739,0.11,0.001,98.63,98.63,0.0,55.66,8,B. nana
81,0.0035,0.0011,0.0,0.0035,0,0.07,0.4268,0.07,0.0009,104.49,104.49,0.0,51.75,4,B. nana
82,0.004,0.001,0.0,0.004,0,0.11,0.7339,0.1,0.0009,104.49,104.49,0.0,55.66,3,B. nana
83,0.0035,0.0011,0.0,0.0035,0,0.16,0.8017999999999998,0.14,0.0009,104.49,104.49,0.0,54.68,5,B. nana
84,0.0045,0.0009,0.0,0.0045,0,0.06,0.355,0.05,0.001,101.56,101.56,0.0,53.71,6,B. nana
85,0.0035,0.0011,0.0,0.0035,0,0.09,0.4439,0.07,0.0009,62.5,101.56,39.06,55.66,7,B. nana
